id,vaccine,cmo,site,city,state,country,latitude,longitude,tooltip
0,Pfizer,Delpharm,0. Unknown,Saint-Rémy-sur-Avre,Eure-et-Loir,France,48.76421,1.234534,TBD
1,Pfizer,Pfizer,1. Raw material,Saint Louis,Missouri,United States of America,38.65883,-90.5564,"The St. Louis site is where the plasmid DNA for the vaccine antigen is produced. The DNA is the template required to manufacture the mRNA vaccine. The template DNA is produced in a cell culture process and subsequently purified through a series of chromatographic and filtration steps. The purified template DNA is then linearized in preparation for the manufacture of the mRNA drug substance at the Andover, MA, facility."
2,Pfizer,Pfizer,2. Substance,Andover,Massachusetts,United States of America,42.61474,-71.1694,"Using an enzymatic process, the Andover Manufacturing Facility is the site where the linearized template DNA is incubated with mRNA building blocks in a reaction vessel to make the mRNA drug substance. The mRNA drug substance is then purified to ensure it meets the highest level of quality and subsequently shipped to Kalamazoo."
3,Pfizer,Pfizer,"3+4. Formulation, Fill & Finish",Kalamazoo,Michigan,United States of America,42.21325,-85.5583,The Kalamazoo site will receive the mRNA drug substance and other raw materials and combine them through a series of steps including impingement jet mixing and specialized mixing to construct the lipid nano particle followed by sterile filtration. The bulk vaccine will then be transferred to an aseptic filling line where it will be filled into a sterilized vial and capped. It will then undergo 100% inspection before it is transferred to the packaging lines where it will be labeled and packed. The packed containers will then go into blast freezers before being staged in storage freezers awaiting final packing into dry ice shipping containers.
4,Pfizer,Pfizer,0. Unknown,Puurs-Sint-Amands,NA,Belgium,51.06637,4.311288,TBD
5,Pfizer,Pfizer,5. Distribution,Pleasant Prairie,Wisconsin,United States of America,42.52096,-87.9065,"In the US, Pfizer's distribution approach will be to largely ship from the Kalamazoo, Michigan site direct to the point of use (POU). Pfizer also will use its existing distribution centers in Pleasant Prairie, Wisconsin. Pfizer will be utilizing road and air modes of transportation in the United States, where Pfizer expects to be able to get product to any POU within a day or two."
51,Moderna,Lonza,3. Formulation,Portsmouth,New Hampshire,United States of America,43.08294,-70.8036,"Lonza expects a dose of 50 µg for the Moderna vaccine, the New Hampshire plant is expected to produce 100 million doses annually."
52,Moderna,Lonza,3. Formulation,Visp,Valais,Switzerland,46.29508,7.883059,"Lonza expects a dose of 50 µg for the Moderna vaccine, the Visp plant is expected to produce 300 million doses annually."
53,Moderna,Moderna,3. Formulation,Norwood,Massachusetts,United States of America,42.2076459,-71.2018362,"Moderna's Technology Center in the US has been developing the vaccine in limited quantities throughout the development. The site has capacity to develop materials for preclinical toxicology studies, Phase I and II clinical development programs, and the ability to manufacture, test and run fill/finish operations for its mRNA development candidates. It is expected that most of the production of the Moderna vaccine will take place at other sites."
54,Moderna,Catalent,4. Fill & Finish,Bloomington,Indiana,United States of America,39.1514502,-86.542456,"Catalent's Bloomington, Indiana site will provide vial filling and packaging capacity, as well as additional staffing required for 24×7 manufacturing operations at the site to support production of an initial 100 million doses of the vaccine candidate intended to supply the U.S. market starting in the third quarter of 2020."
55,Moderna,Rovi,4. Fill & Finish,San Sebastián de los Reyes,Madrid,Spain,40.5384725,-3.5685617,"Rovi's plant outside Madrid will provide vial filling and packaging capacity by procuring a new production line and equipment for compounding, filling, automatic visual inspection and labeling to support production of hundreds of millions of doses of the vaccine candidate intended in principle to supply markets outside of the U.S. starting in early 2021. Rovi's Annual production capacity for contract manufacturing at it's Madrid facility is 150 million syringes."
56,Moderna,Recipharm,"3+4. Formulation, Fill & Finish",Monts,Indre-et-Loire,France,47.2704819,0.6484281,"Formulation and fill & finish for Moderna’s COVID-19 vaccine candidate will be performed in Recipharm’s drug product manufacturing facility located in Monts, France. "
57,Moderna,Catalent,5. Distribution,Philadelphia,Pennsylvania,United States of America,40.0827944,-75.0016949,"Catalent will  provide clinical supply services from it's North American Center of Excellence for clinical supply packaging (206,878 ft2 facility) in Philadelphia, Pennsylvania. Packaging, labeling, as well as storage and distribution will be conducted from this site."
58,Moderna,McKesson,5. Distribution,Irving,Texas,United States of America,32.984099,-97.023246,"As part of a contract from Operation Warp Speed (OWS), which is the US Federal Governments COVID-19 vaccine development and distribution plan, McKesson signed a contract to distribute most of the vaccine. McKesson's site in Irrving, Texas will distribute vaccines to the ~75,000 injection sites cited by the US CDC across the US. "
59,Moderna,TBD,6. Purchasing entity,TBD,TBD,Canada,56.13,-106.346771,Canada has procured 56 million doses of the Moderna Vaccine
60,Moderna,TBD,6. Purchasing entity,TBD,TBD,United States,46.82,8.227512,United States has procured 100 million doses of the Moderna Vaccine
61,Moderna,TBD,6. Purchasing entity,TBD,TBD,Switzerland,36.2,138.252924,Switzerland has procured 4.5 million doses of the Moderna Vaccine
62,Moderna,TBD,6. Purchasing entity,TBD,TBD,Japan,36.204824,138.252924,Japan has procured 50 million doses of the Moderna Vaccine
